pivot_id,area_ha,season,aeti_mm,npp_gC_m2,pcp_mm,is_active,biomass_dry_kg_ha,water_consumed_m3_ha,cwp,niwr_mm,demand_vol_m3,abstraction_vol_m3
0,65.0148518,2021/22,0,0,0.72,0,0,0,,0,0,0
1,50.3416763,2021/22,0,0,0.72,0,0,0,,0,0,0
2,64.11495942,2021/22,0,0,0.72,0,0,0,,0,0,0
3,65.16100291,2021/22,0,0,0.419973154,0,0,0,,0,0,0
4,52.90348001,2021/22,0,0,0.4,0,0,0,,0,0,0
5,65.26255794,2021/22,0,0,0.4,0,0,0,,0,0,0
6,38.30149519,2021/22,0,0,0.4,0,0,0,,0,0,0
7,37.36954717,2021/22,0,0,0.4,0,0,0,,0,0,0
8,50.94012546,2021/22,0,0,0.410304613,0,0,0,,0,0,0
9,64.41507513,2021/22,0,0,0.4,0,0,0,,0,0,0
10,65.88292586,2021/22,0,0,0.4,0,0,0,,0,0,0
11,51.88836591,2021/22,0,0,0.4,0,0,0,,0,0,0
12,64.66598902,2021/22,0,0,0.4,0,0,0,,0,0,0
13,66.45888558,2021/22,0,0,0.4,0,0,0,,0,0,0
14,65.74872025,2021/22,0,0,0.4,0,0,0,,0,0,0
15,38.06014169,2021/22,0,0,0.4,0,0,0,,0,0,0
16,63.9587681,2021/22,0,0,0.640657534,0,0,0,,0,0,0
17,62.79966413,2021/22,0,0,0.4,0,0,0,,0,0,0
18,49.18683288,2021/22,0,0,0.4,0,0,0,,0,0,0
19,63.77669291,2021/22,0,0,0.4,0,0,0,,0,0,0
20,62.60891416,2021/22,0,0,0.555182073,0,0,0,,0,0,0
21,62.28617812,2021/22,0,0,0.6,0,0,0,,0,0,0
22,63.45488099,2021/22,0,0,0.535079256,0,0,0,,0,0,0
23,63.3432119,2021/22,0,0,0.456767956,0,0,0,,0,0,0
24,64.40515818,2021/22,0,0,0.4,0,0,0,,0,0,0
25,34.75627068,2021/22,0,0,0.611212516,0,0,0,,0,0,0
26,37.34794249,2021/22,0,0,0.7,0,0,0,,0,0,0
27,61.58773031,2021/22,0,0,0.443865906,0,0,0,,0,0,0
28,18.84882855,2021/22,0,0,0.7,0,0,0,,0,0,0
29,62.64923786,2021/22,0,0,0.6,0,0,0,,0,0,0
30,62.56869146,2021/22,0,0,0.6,0,0,0,,0,0,0
31,64.27068133,2021/22,0,0,0.596940857,0,0,0,,0,0,0
32,50.21280856,2021/22,0,0,0.5,0,0,0,,0,0,0
33,64.83375202,2021/22,0,0,0.580782198,0,0,0,,0,0,0
34,63.99901747,2021/22,0,0,0.7,0,0,0,,0,0,0
35,49.85596123,2021/22,357.1768683,246.1605133,0.7,1,5464.763396,3571.768683,1.529988048,356.6168683,177794.7676,209170.3149
36,50.41790664,2021/22,0,0,0.7,0,0,0,,0,0,0
37,50.45592597,2021/22,0,0,0.7,0,0,0,,0,0,0
38,49.53557934,2021/22,353.7743268,384.2425287,0.7,1,8530.184138,3537.743268,2.41119366,353.2143268,174966.7631,205843.2507
39,49.05310036,2021/22,0,0,0.7,0,0,0,,0,0,0
40,47.55674987,2021/22,0,0,0.601310861,0,0,0,,0,0,0
41,64.04012793,2021/22,0,0,0.5,0,0,0,,0,0,0
42,35.17081223,2021/22,0,0,0.5,0,0,0,,0,0,0
43,64.40459258,2021/22,350.57774,346.6649095,0.5,1,7695.96099,3505.7774,2.195222375,350.17774,225530.5467,265330.055
44,60.70273094,2021/22,0,0,0.6,0,0,0,,0,0,0
45,49.73307878,2021/22,0,0,0.6,0,0,0,,0,0,0
46,49.245055,2021/22,393.2897738,399.928819,0.6,1,8878.419782,3932.897738,2.257475372,392.8097738,193439.3891,227575.7519
47,36.27660184,2021/22,0,0,0.6,0,0,0,,0,0,0
48,62.870891,2021/22,380.4793296,381.8114197,0.6,1,8476.213517,3804.793296,2.227772406,379.9993296,238908.9643,281069.3698
49,64.49604488,2021/22,401.2269648,392.7602852,0.6,1,8719.278332,4012.269648,2.173153626,400.7469648,258465.9423,304077.5791
50,63.64931877,2021/22,0,0,0.510089224,0,0,0,,0,0,0
51,64.19820521,2021/22,0,0,0.5,0,0,0,,0,0,0
52,19.79095715,2021/22,0,0,0.5,0,0,0,,0,0,0
53,64.36478544,2021/22,0,0,0.5,0,0,0,,0,0,0
54,63.86079285,2021/22,0,0,0.5,0,0,0,,0,0,0
55,61.76188684,2021/22,0,0,0.5,0,0,0,,0,0,0
56,64.30923392,2021/22,352.9840491,358.2492052,0.5,1,7953.132355,3529.840491,2.253113809,352.5840491,226744.1009,266757.7657
57,47.45306591,2021/22,0,0,0.7,0,0,0,,0,0,0
58,34.87869821,2021/22,0,0,0.5,0,0,0,,0,0,0
59,50.79479782,2021/22,0,0,0.5,0,0,0,,0,0,0
60,49.4180298,2021/22,0,0,0.5,0,0,0,,0,0,0
61,62.23620892,2021/22,320.2234507,316.3925127,0.5,1,7023.913781,3202.234507,2.193441413,319.8234507,199045.991,234171.7541
62,63.62685226,2021/22,372.8649171,370.3766008,0.5,1,8222.360538,3728.649171,2.205184816,372.4649171,236987.7025,278809.0618
63,64.59855014,2021/22,0,0,0.5,0,0,0,,0,0,0
64,67.17748642,2021/22,0,0,0.5,0,0,0,,0,0,0
65,60.02513068,2021/22,0,0,0.5,0,0,0,,0,0,0
66,62.90733362,2021/22,0,0,0.535244755,0,0,0,,0,0,0
67,48.87320748,2021/22,0,0,0.5,0,0,0,,0,0,0
68,62.6458772,2021/22,0,0,0.5,0,0,0,,0,0,0
69,36.28872591,2021/22,0,0,0.451677019,0,0,0,,0,0,0
70,49.27115811,2021/22,0,0,0.468925023,0,0,0,,0,0,0
71,61.23499562,2021/22,0,0,0.498636037,0,0,0,,0,0,0
72,63.05429795,2021/22,0,0,0.5,0,0,0,,0,0,0
73,35.8829039,2021/22,0,0,0.433709273,0,0,0,,0,0,0
74,64.26597942,2021/22,0,0,0.4,0,0,0,,0,0,0
75,64.53642991,2021/22,0,0,0.371690428,0,0,0,,0,0,0
76,61.37977771,2021/22,0,0,0.3,0,0,0,,0,0,0
77,37.52571147,2021/22,354.5846154,350.2940865,0.3,1,7776.528721,3545.846154,2.193137656,354.3446154,132970.338,156435.6917
78,35.95299998,2021/22,242.4471627,264.3096267,0.3,1,5867.673713,2424.471627,2.420186588,242.2071627,87080.74115,102447.9308
79,49.18550887,2021/22,279.9336339,274.2264878,0.3,1,6087.82803,2799.336339,2.174739757,279.6936339,137568.7371,161845.5731
80,62.03233184,2021/22,305.1723796,294.7588987,0.3,1,6543.647552,3051.723796,2.144246331,304.9323796,189156.6656,222537.2536
81,61.02630943,2021/22,0,0,0.5,0,0,0,,0,0,0
82,64.2145049,2021/22,0,0,0.42443686,0,0,0,,0,0,0
83,36.91685806,2021/22,0,0,0.452380952,0,0,0,,0,0,0
84,64.94270536,2021/22,0,0,0.4,0,0,0,,0,0,0
85,65.13599986,2021/22,0,0,0.4,0,0,0,,0,0,0
86,35.87204308,2021/22,0,0,0.4,0,0,0,,0,0,0
87,62.99438139,2021/22,0,0,0.4,0,0,0,,0,0,0
88,63.09364339,2021/22,0,0,0.4,0,0,0,,0,0,0
89,62.41568549,2021/22,498.1729881,557.013972,0.3,1,12365.71018,4981.729881,2.482212098,497.9329881,310788.2878,365633.2798
90,62.54465096,2021/22,552.7986014,625.7106937,0.3,1,13890.7774,5527.986014,2.512809795,552.5586014,345595.8486,406583.3513
91,34.60250047,2021/22,348.7150327,347.4696013,0.3,1,7713.825149,3487.150327,2.212071298,348.4750327,120581.0748,141860.088
92,64.73269752,2021/22,313.2901285,307.0563536,0.3,1,6816.65105,3132.901285,2.175826951,313.0501285,202645.7927,238406.815
93,62.25829852,2021/22,0,0,0.3,0,0,0,,0,0,0
94,49.01983643,2021/22,0,0,0.4,0,0,0,,0,0,0
95,61.89938544,2021/22,0,0,0.3,0,0,0,,0,0,0
96,33.91509447,2021/22,0,0,0.3,0,0,0,,0,0,0
97,63.44847688,2021/22,477.053168,544.6918664,0.3,1,12092.15943,4770.53168,2.534761373,476.813168,302530.6927,355918.462
98,63.839698,2021/22,338.832761,332.3715206,0.3,1,7378.647757,3388.32761,2.177666568,338.592761,216156.5961,254301.8777
99,60.19458995,2021/22,572.6009496,664.2178437,0.3,1,14745.63613,5726.009496,2.575202877,572.3609496,344530.3267,405329.7961
100,49.71905566,2021/22,0,0,0.4,0,0,0,,0,0,0
101,63.61366927,2021/22,0,0,0.4,0,0,0,,0,0,0
102,35.93250446,2021/22,0,0,0.4,0,0,0,,0,0,0
103,37.07810111,2021/22,0,0,0.4,0,0,0,,0,0,0
104,64.61613574,2021/22,0,0,0.4,0,0,0,,0,0,0
105,62.39247269,2021/22,0,0,0.4,0,0,0,,0,0,0
106,64.89027087,2021/22,0,0,0.4,0,0,0,,0,0,0
107,64.32815624,2021/22,0,0,0.4,0,0,0,,0,0,0
108,36.65693609,2021/22,0,0,0.4,0,0,0,,0,0,0
109,36.27181097,2021/22,0,0,0.4,0,0,0,,0,0,0
110,64.41364628,2021/22,0,0,0.4,0,0,0,,0,0,0
111,35.88828365,2021/22,0,0,0.4,0,0,0,,0,0,0
112,50.73460601,2021/22,0,0,0.4,0,0,0,,0,0,0
113,64.88182917,2021/22,0,0,0.4,0,0,0,,0,0,0
114,63.32738244,2021/22,0,0,0.4,0,0,0,,0,0,0
115,64.93592878,2021/22,0,0,0.4,0,0,0,,0,0,0
116,66.85106456,2021/22,0,0,0.4,0,0,0,,0,0,0
117,38.06870885,2021/22,0,0,0.4,0,0,0,,0,0,0
118,36.93264309,2021/22,0,0,0.4,0,0,0,,0,0,0
119,60.2556396,2021/22,367.5483589,411.7159365,0.4,1,9140.093791,3675.483589,2.48677312,367.2283589,221275.7964,260324.4664
120,61.14569502,2021/22,405.0666189,420.5688926,0.328295129,1,9336.629415,4050.666189,2.30496145,404.8039828,247520.2088,291200.2456
121,63.87730664,2021/22,533.5167923,648.9074023,0.4,1,14405.74433,5335.167923,2.70014825,533.1967923,340591.75,400696.1765
122,47.41605965,2021/22,0,0,0.4,0,0,0,,0,0,0
