pivot_id,area_ha,n_active_seasons,operation_class,avg_wpb_kg_m3,trend,p_value,slope,lat,lon
0,65.01485180420231,1,Expansion (New),1.9160213889986029,Insufficient Data,,,27.97194119105969,30.082890976670345
1,50.341676296717075,2,Expansion (New),1.6699181931032778,Insufficient Data,,,27.977386599107373,30.089426040179692
2,64.11495941890256,1,Expansion (New),1.873771296233491,Insufficient Data,,,27.96386564502895,30.090415380431086
3,65.16100290996508,1,Expansion (New),1.7943808377585735,Insufficient Data,,,27.97618041872285,30.10344258261418
4,52.90348000672455,2,Intermittent / Rotation,1.6391506755105643,Insufficient Data,,,27.980772676720896,30.11114480923578
5,65.26255794402107,2,Expansion (New),1.7793237744941164,Insufficient Data,,,27.98263158655128,30.119808465008106
6,38.301495185712284,1,Expansion (New),1.381383234713875,Insufficient Data,,,27.987271138980777,30.113562811312356
7,37.36954717292534,2,Expansion (New),1.794272734133728,Insufficient Data,,,27.988124543074075,30.12540415219608
8,50.940125462255985,1,Expansion (New),1.812637129467538,Insufficient Data,,,27.965923715128653,30.103282301150678
9,64.41507512862292,2,Intermittent / Rotation,1.5973674017906558,Insufficient Data,,,27.97056053809845,30.110324007440315
10,65.88292586185828,1,Expansion (New),1.776239719406678,Insufficient Data,,,27.96497610203359,30.11721884789929
11,51.88836591146359,2,Expansion (New),1.700207025475019,Insufficient Data,,,27.96020410212776,30.1102039674875
12,64.66598901592221,2,Expansion (New),1.675414526112157,Insufficient Data,,,27.95392305517749,30.105077640985776
13,66.45888557638312,2,Expansion (New),1.6227805715885966,Insufficient Data,,,27.95544202888612,30.117561855340764
14,65.7487202546384,1,Intermittent / Rotation,1.7440190445874608,Insufficient Data,,,27.956985751161604,30.12693972732416
15,38.060141693014764,1,Intermittent / Rotation,1.675859473963485,Insufficient Data,,,27.959613975129084,30.136278221989546
16,63.95876809768247,1,Expansion (New),1.5204661074508004,Insufficient Data,,,27.959497697479264,30.098226043244786
17,62.79966413023451,2,Expansion (New),1.7814526780273578,Insufficient Data,,,27.979051252752154,30.13846671881166
18,49.186832882625076,2,Expansion (New),1.7899750445481633,Insufficient Data,,,27.971669842360868,30.134032032325344
19,63.77669291445002,3,Stable Active,1.67261923527062,no trend,0.2962698714842864,0.09797332643206202,27.97363803163849,30.14525162331938
20,62.608914162900184,0,Permanent Fallow,,Insufficient Data,,,27.94828470263765,30.111991579570663
21,62.28617812257146,1,Expansion (New),1.7617930032185103,Insufficient Data,,,27.94264464655826,30.118830310102453
22,63.454880986859415,2,Expansion (New),1.5164694061595405,Insufficient Data,,,27.948950404199238,30.124879275670303
23,63.343211895242696,2,Intermittent / Rotation,1.7140990493045107,Insufficient Data,,,27.95137681459192,30.133740507033753
24,64.40515817584058,3,Stable Active,1.6134178854582348,no trend,1.0,0.020334555095451012,27.966057166637906,30.140559295455464
25,34.756270684597325,2,Expansion (New),1.7804107633566297,Insufficient Data,,,27.967684194404008,30.151033904110342
26,37.347942486650325,2,Expansion (New),1.8035554047114761,Insufficient Data,,,27.96343250806151,30.156310758472216
27,61.5877303140959,2,Intermittent / Rotation,1.5893261249864317,Insufficient Data,,,27.96057162601175,30.147474078159302
28,18.848828550431197,3,Stable Active,1.6361643708000895,no trend,0.2962698714842864,0.13120725444166825,27.957741108170712,30.153968844051164
29,62.64923786390346,2,Expansion (New),1.6773835845364222,Insufficient Data,,,27.94331932904351,30.131851382321706
30,62.568691461783146,1,Intermittent / Rotation,1.7039176073835935,Insufficient Data,,,27.945862734432076,30.140575735355768
31,64.27068133116761,1,Intermittent / Rotation,1.5963444621652514,Insufficient Data,,,27.939232445579833,30.146235576047317
32,50.21280855872424,2,Expansion (New),1.9168859497318094,Insufficient Data,,,27.941542723489682,30.1595561751345
33,64.83375201583573,1,Expansion (New),1.4877800466818942,Insufficient Data,,,27.94944729843693,30.16110593615082
34,63.99901746827963,2,Expansion (New),1.5131580412434933,Insufficient Data,,,27.956087175463324,30.167352680018425
35,49.85596123415063,3,Stable Active,1.6167051665094438,no trend,1.0,0.02168276294457183,27.971436067517278,30.18960133794762
36,50.41790663557374,0,Permanent Fallow,,Insufficient Data,,,27.976105139150597,30.19898404415795
37,50.45592597397377,0,Permanent Fallow,,Insufficient Data,,,27.971198460627626,30.205048842764317
38,49.535579339142,1,Abandonment,2.4111936601095247,Insufficient Data,,,27.96631879535647,30.211191403001873
39,49.05310036295521,2,Intermittent / Rotation,1.5381529882530893,Insufficient Data,,,27.960935246089537,30.205545655337946
40,47.55674986641912,2,Intermittent / Rotation,1.6612566135010216,Insufficient Data,,,27.950062690215173,30.210713962591825
41,64.04012793316738,2,Intermittent / Rotation,1.5113497925527117,Insufficient Data,,,27.943994567450222,30.16805125557328
42,35.17081223259218,1,Expansion (New),1.804717014492869,Insufficient Data,,,27.941267862050005,30.184119062549872
43,64.4045925826573,2,Intermittent / Rotation,2.4707330714297884,Insufficient Data,,,27.937085160704335,30.190894636600426
44,60.70273094057451,1,Expansion (New),1.6062145808953112,Insufficient Data,,,27.937127150292564,30.12543165630921
45,49.7330787790041,1,Intermittent / Rotation,1.7298959375077023,Insufficient Data,,,27.930503127927455,30.12999425620979
46,49.24505499615302,3,Stable Active,2.461048775321286,no trend,1.0,0.12877980734232475,27.92306504578476,30.130820903570314
47,36.27660184030225,2,Intermittent / Rotation,1.808568772182971,Insufficient Data,,,27.91929905990044,30.146471186913256
48,62.870891001514856,2,Abandonment,2.4319608810182967,Insufficient Data,,,27.917775534753353,30.13738251031109
49,64.49604487943834,2,Abandonment,2.3759205666714047,Insufficient Data,,,27.912221107743758,30.144185993648485
50,63.64931876754081,2,Intermittent / Rotation,1.6820126227032342,Insufficient Data,,,27.914658965353397,30.153008696874785
51,64.19820521178428,1,Expansion (New),1.471349559932054,Insufficient Data,,,27.92077033411421,30.159303653218217
52,19.790957146117908,2,Intermittent / Rotation,1.7542252152306856,Insufficient Data,,,27.928813473256326,30.164347976414597
53,64.3647854354036,1,Intermittent / Rotation,1.4063944280124498,Insufficient Data,,,27.923224611548076,30.168301679253233
54,63.860792849238464,0,Permanent Fallow,,Insufficient Data,,,27.917660541842487,30.175180486518165
55,61.76188683508354,2,Intermittent / Rotation,1.542671821528782,Insufficient Data,,,27.938340747818415,30.17509236468957
56,64.30923391971984,3,Stable Active,2.5851979600025317,no trend,0.2962698714842864,0.3815899196165222,27.930908856165708,30.184593982170952
57,47.45306590664677,1,Intermittent / Rotation,1.5842157098225598,Insufficient Data,,,27.953861907710692,30.203691158290017
58,34.87869820979805,1,Intermittent / Rotation,1.6557607097647358,Insufficient Data,,,27.94646767368792,30.204097235093997
59,50.79479781678529,2,Intermittent / Rotation,1.688945276234166,Insufficient Data,,,27.942007132484584,30.209813273288923
60,49.41802979633309,2,Intermittent / Rotation,1.6809893642168734,Insufficient Data,,,27.930248664235076,30.198837345783048
61,62.23620892311137,2,Abandonment,2.2396635407309544,Insufficient Data,,,27.933981742759173,30.206656136678525
62,63.626852256962295,1,Abandonment,2.205184816461459,Insufficient Data,,,27.9253483994536,30.191609267190987
63,64.5985501402958,1,Intermittent / Rotation,1.5297572845263985,Insufficient Data,,,27.917317809748216,30.189456777213525
64,67.17748641971367,1,Intermittent / Rotation,1.4984797575357516,Insufficient Data,,,27.9120917333106,30.181961993079273
65,60.02513068015891,1,Expansion (New),1.700581462664648,Insufficient Data,,,27.91531293454043,30.16636840757699
66,62.907333616772256,0,Permanent Fallow,,Insufficient Data,,,27.906586166112312,30.151026551677234
67,48.873207482996555,2,Intermittent / Rotation,1.6227892341383956,Insufficient Data,,,27.90808705408258,30.159641558753556
68,62.64587720405636,2,Intermittent / Rotation,1.6010288190393314,Insufficient Data,,,27.909660440309935,30.17307056056249
69,36.288725912669065,2,Intermittent / Rotation,2.7147926962299245,Insufficient Data,,,27.900037753854193,30.145709630902772
70,49.27115811317773,2,Intermittent / Rotation,1.6382257630159454,Insufficient Data,,,27.901077544300886,30.157843514915236
71,61.23499561689345,2,Intermittent / Rotation,1.6592693635537499,Insufficient Data,,,27.90356262676778,30.166747294846278
72,63.05429795212138,2,Intermittent / Rotation,1.5685495871950974,Insufficient Data,,,27.90406374561475,30.179884603382245
73,35.88290389546482,2,Intermittent / Rotation,1.5994451778837213,Insufficient Data,,,27.89927067196633,30.173428921167964
74,64.26597942362739,1,Intermittent / Rotation,1.5791313273595562,Insufficient Data,,,27.895490038909948,30.164733894243774
75,64.53642990629636,2,Intermittent / Rotation,2.676872930557659,Insufficient Data,,,27.8949238417373,30.151532483610932
76,61.37977771166122,0,Permanent Fallow,,Insufficient Data,,,27.89334526366689,30.14230078608688
77,37.525711469560896,4,Stable Active,2.59513891405841,no trend,0.7340951823194757,0.18636435061264592,27.89138071995524,30.12757734507101
78,35.95299998213231,3,Stable Active,2.6689969105063205,no trend,1.0,0.0990039063527055,27.88877534523971,30.1203562828691
79,49.18550887182437,3,Stable Active,2.5510022523822364,no trend,1.0,0.19070175850030857,27.88448248501649,30.126460717338976
80,62.03233183848022,3,Stable Active,2.5133826954859373,no trend,1.0,0.17268715501851917,27.887287064291247,30.135108598549593
81,61.02630942700275,1,Intermittent / Rotation,1.559702877208766,Insufficient Data,,,27.906481092255213,30.18900102554744
82,64.21450489813593,1,Expansion (New),1.3899622539893812,Insufficient Data,,,27.898420105240994,30.1867664456507
83,36.91685805643066,1,Intermittent / Rotation,1.5885843650567577,Insufficient Data,,,27.900148719634696,30.194799035240926
84,64.94270535633297,2,Intermittent / Rotation,1.4942450858318588,Insufficient Data,,,27.892407662633595,30.18039134504528
85,65.1359998591618,2,Intermittent / Rotation,1.4847283190076088,Insufficient Data,,,27.889857212482482,30.171535110104813
86,35.872043075324264,3,Stable Active,1.7397833013222235,no trend,0.2962698714842864,0.19080818306148917,27.88511235717595,30.178661556591855
87,62.9943813859729,2,Intermittent / Rotation,1.6363234631610406,Insufficient Data,,,27.88671964522907,30.187170010501127
88,63.0936433853918,2,Intermittent / Rotation,1.5871046073984747,Insufficient Data,,,27.892873262191976,30.19354297222526
89,62.4156854917089,3,Stable Active,2.637878849474799,no trend,1.0,0.005232572420742709,27.881763741375515,30.141892430803463
90,62.54465095998938,3,Stable Active,2.451206006905179,no trend,0.2962698714842864,-0.07156236484718925,27.879299705895527,30.133003339136458
91,34.602500469365914,3,Stable Active,2.588844323631338,no trend,1.0,0.21898044919542792,27.877754466084266,30.122745301229173
92,64.73269751570308,3,Stable Active,2.4402833978460072,no trend,1.0,0.1285899437847109,27.87208934295672,30.127938009733253
93,62.258298518588525,2,Intermittent / Rotation,2.7104816313075064,Insufficient Data,,,27.873651617107644,30.139937170876777
94,49.01983643162327,2,Intermittent / Rotation,1.7512820545536136,Insufficient Data,,,27.871390180825543,30.155606389018548
95,61.899385440434855,2,Intermittent / Rotation,1.8651679020624943,Insufficient Data,,,27.86346901155632,30.112734009920768
96,33.91509447454267,2,Intermittent / Rotation,2.7283657467489464,Insufficient Data,,,27.868276011350815,30.11918883698604
97,63.44847687918784,3,Stable Active,2.7214349735396532,no trend,1.0,0.08952558519638143,27.86408012247542,30.125913916277888
98,63.83969800251443,3,Stable Active,2.579485474419339,no trend,1.0,0.2616081449850034,27.866505848647417,30.134724922799098
99,60.19458995430296,2,Abandonment,2.742310661975324,Insufficient Data,,,27.858391775067965,30.132776950692875
100,49.71905566465711,2,Expansion (New),1.747788825058807,Insufficient Data,,,27.87593789966601,30.17315905251672
101,63.61366926670347,1,Expansion (New),1.8596107758118363,Insufficient Data,,,27.881113220249112,30.19418478047976
102,35.932504457285845,3,Stable Active,1.6595545398546774,no trend,1.0,0.05366033042832463,27.880266583571256,30.207313541131306
103,37.07810111174342,3,Stable Active,1.6410167121535186,no trend,0.2962698714842864,0.22820805311983827,27.884156275561388,30.217479294505473
104,64.61613573636917,3,Stable Active,1.656712565416651,no trend,0.2962698714842864,0.11047425278910405,27.876073321686203,30.214111530350056
105,62.392472693691225,1,Expansion (New),1.514821247714166,Insufficient Data,,,27.878628532650975,30.222984812250974
106,64.89027087038757,3,Stable Active,1.6655380444882801,no trend,0.2962698714842864,0.1275544763753802,27.87056693700894,30.22091030900163
107,64.32815624030417,1,Expansion (New),1.520983809434387,Insufficient Data,,,27.873003360383432,30.229822729899684
108,36.65693609337155,3,Stable Active,1.7010171336242,no trend,0.2962698714842864,0.15974381853764874,27.867188268048057,30.212537825179712
109,36.271810969605106,2,Expansion (New),1.9392545330341626,Insufficient Data,,,27.87040359084502,30.201063168865378
